hotel_name,Category,Full_Addr,Addr,City,State,Zipcode,Stars,Num_Reviews,url,lat,lng
Courtyard West Springfield,3,"885 Riverdale Street West Springfield, Massachusetts 01089",885 Riverdale Street,West Springfield,MA, 01089,4.6,39,https://cache.marriott.com/marriottassets/marriott/CY/cy-main01-0001-hor-feat.jpg?resize=375:150 undefined,42.1279061,-72.6256964
Residence Inn West Springfield,3,"64 Border Way West Springfield, Massachusetts 01089",64 Border Way,West Springfield,MA, 01089,4,287,NULL,42.1385476,-72.6285606
TownePlace Suites Salt Lake City-West Valley,2,"5473 West High Market Drive West Valley City, Utah 84120",5473 West High Market Drive,West Valley City,UT, 84120,4.6,244,NULL,40.7118268,-112.0219739
SpringHill Suites Providence West Warwick,4,"14 James P. Murphy Industrial Highway West Warwick, Rhode Island 02893",14 James P. Murphy Industrial Highway,West Warwick,RI, 02893,4.4,384,NULL,41.6685671,-71.5035535
Courtyard Burlington Mt. Holly/Westampton,2,"30 Western Drive Westampton, New Jersey 08060",30 Western Drive,Westampton,NJ, 08060,4.2,435,NULL,40.033065,-74.8165719
Courtyard Boston Westborough,3,"3 Technology Drive Westborough, Massachusetts 01581",3 Technology Drive,Westborough,MA, 01581,4.1,276,NULL,42.2915125,-71.5694744
Residence Inn Boston Westborough,3,"25 Connector Road Westborough, Massachusetts 01581",25 Connector Road,Westborough,MA, 01581,4.2,279,NULL,42.2854482,-71.5863506
Courtyard Westbury Long Island,4,"1800 Privado Road Westbury, New York 11590",1800 Privado Road,Westbury,NY, 11590,4.5,394,NULL,40.7450331,-73.5887195
Four Points by Sheraton Chicago Westchester/Oak Brook,3,"2222 Enterprise Drive Westchester, Illinois 60154",2222 Enterprise Drive,Westchester,IL, 60154,4.1,14,NULL,41.8471128,-87.9083875
Renaissance Columbus Westerville-Polaris Hotel,4,"409 Altair Parkway Westerville, Ohio 43082",409 Altair Parkway,Westerville,OH, 43082,4.5,187,NULL,40.1433907,-82.9433119
Aloft Columbus Westerville,3,"32 Heatherdown Drive Westerville, Ohio 43081",32 Heatherdown Drive,Westerville,OH, 43081,4.3,117,NULL,40.1063065,-82.9263315
SpringHill Suites Indianapolis Westfield,3,"19317 Westmore Ln Westfield, Indiana 46074",19317 Westmore Ln,Westfield,IN, 46074,4.9,83,NULL,40.0679201,-86.1295714
Residence Inn Boston Westford,3,"7 Lan Drive Westford, Massachusetts 01886",7 Lan Drive,Westford,MA, 01886,4.4,302,NULL,42.5595421,-71.4298384
Courtyard Cleveland Westlake,2,"25050 Sperry Drive Westlake, Ohio 44145",25050 Sperry Drive,Westlake,OH, 44145,4.3,388,NULL,41.475504,-81.8977197
Dallas/Fort Worth Marriott Solana,3,"1301 Solana Boulevard, Building 3 Westlake, Texas 76262",1301 Solana Boulevard Building 3,Westlake,TX, 76262,4.4,509,NULL,32.9802566,-97.1676958
TownePlace Suites Cleveland Westlake,2,"25052 Sperry Drive Westlake, Ohio 44145",25052 Sperry Drive,Westlake,OH, 44145,4.1,264,NULL,41.476145,-81.8977776
Residence Inn Los Angeles Westlake Village,4,"30950 Russell Ranch Road Westlake Village, California 91362",30950 Russell Ranch Road,Westlake Village,CA, 91362,4.2,346,NULL,34.1504455,-118.8021861
Courtyard Denver North/Westminster,3,"14355 Orchard Parkway Westminster, Colorado 80023",14355 Orchard Parkway,Westminster,CO, 80023,4.7,217,NULL,39.9566569,-104.9958878
Fairfield Inn & Suites Denver North/Westminster,3,"12080 Melody Drive Westminster, Colorado 80234",12080 Melody Drive,Westminster,CO, 80234,4.3,288,NULL,39.9154712,-104.9938793
Denver Marriott Westminster,4,"7000 Church Ranch Boulevard Westminster, Colorado 80021",7000 Church Ranch Boulevard,Westminster,CO, 80021,4.6,463,NULL,39.883798,-105.0745559
Residence Inn Denver North/Westminster,3,"5010 W. 88th Place Westminster, Colorado 80031",5010 W. 88th Place,Westminster,CO, 80031,4.6,431,NULL,39.8589133,-105.0521341
SpringHill Suites Denver North/Westminster,3,"6845 W. 103rd Avenue Westminster, Colorado 80021",6845 W. 103rd Avenue,Westminster,CO, 80021,4,476,NULL,39.8834268,-105.0723181
The Westin Westminster,4,"10600 Westminster Boulevard Westminster, Colorado 80020",10600 Westminster Boulevard,Westminster,CO, 80020,4.1,753,NULL,39.890663,-105.0654218
Courtyard Fort Lauderdale Weston,3,"2000 N Commerce Parkway Weston, Florida 33326",2000 N Commerce Parkway,Weston,FL, 33326,4.2,600,NULL,26.092296,-80.3652125
Fairfield Inn & Suites Wausau,2,"7100 Stone Ridge Drive Weston, Wisconsin 54476",7100 Stone Ridge Drive,Weston,WI, 54476,4.7,382,NULL,44.8923601,-89.5765089
Residence Inn Fort Lauderdale Weston,3,"2605 Weston Road Weston, Florida 33331",2605 Weston Road,Weston,FL, 33331,4.4,441,NULL,26.0861178,-80.372607
TownePlace Suites Fort Lauderdale Weston,4,"1545 Three Village Road Weston, Florida 33326",1545 Three Village Road,Weston,FL, 33326,4.3,471,NULL,26.098825,-80.379631
Courtyard Boston Dedham/Westwood,4,"64 University Avenue Westwood, Massachusetts 02090",64 University Avenue,Westwood,MA, 02090,4.1,201,NULL,42.2097285,-71.1486578
